route_id,count,avg_duration_actual,start station id,start station name,end station name,start station latitude,start station longitude,end station id,end station latitude,end station longitude,uber_x_duration,uber_x_high_estimate,bicycling_duration_total
1-105,1,2546.0,1,18 Dorrance Warehouse,Lower Cambridgeport at Magazine St/Riverside Rd,42.387151,-71.075978,105,42.356954,-71.113687,660.0,15.0,1502
1-110,1,1237.0,1,18 Dorrance Warehouse,Harvard University Gund Hall at Quincy St / Kirkland S,42.387151,-71.075978,110,42.376369,-71.114025,780.0,11.0,1068
1-115,3,1478.33333333,1,18 Dorrance Warehouse,Porter Square Station,42.387151,-71.075978,115,42.387995,-71.119084,600.0,12.0,1288
1-116,1,1189.0,1,18 Dorrance Warehouse,359 Broadway - Broadway at Fayette Street,42.387151,-71.075978,116,42.370803,-71.104412,600.0,11.0,1054
1-117,1,970.0,1,18 Dorrance Warehouse,Binney St / Sixth St,42.387151,-71.075978,117,42.366095,-71.086388,480.0,10.0,959
1-125,2,6717.5,1,18 Dorrance Warehouse,Hyde Square at Barbara St,42.387151,-71.075978,125,42.320998,-71.110833,1140.0,28.0,2708
1-126,1,7525.0,1,18 Dorrance Warehouse,Egleston Square at Columbus Ave,42.387151,-71.075978,126,42.315692,-71.098634,960.0,23.0,2786
1-131,4,3912.75,1,18 Dorrance Warehouse,Jackson Square T at Centre St,42.387151,-71.075978,131,42.3228583541,-71.1003439128,960.0,20.0,2608
1-149,4,1498.0,1,18 Dorrance Warehouse,Harvard University Transportation Services - 175 North Harvard St,42.387151,-71.075978,149,42.363796,-71.129164,1140.0,21.0,1717
1-177,1,1386.0,1,18 Dorrance Warehouse,University Park,42.387151,-71.075978,177,42.3626477912,-71.1000609398,600.0,13.0,1225
1-194,3,955.666666667,1,18 Dorrance Warehouse,Broadway St at Mt Pleasant St,42.387151,-71.075978,194,42.3861414116,-71.0782814026,120.0,7.0,203
1-205,1,24906.0,1,18 Dorrance Warehouse,Bowdoin St at Quincy St,42.387151,-71.075978,205,42.3079191268,-71.0650205612,840.0,20.0,2735
1-32,1,2338.0,1,18 Dorrance Warehouse,Landmark Centre,42.387151,-71.075978,32,42.343912,-71.102221,600.0,15.0,1972
1-46,2,3755.0,1,18 Dorrance Warehouse,Christian Science Plaza,42.387151,-71.075978,46,42.343864,-71.085918,660.0,21.0,1782
1-68,4,1350.5,1,18 Dorrance Warehouse,Central Square at Mass Ave / Essex St,42.387151,-71.075978,68,42.36507,-71.1031,960.0,12.0,1196
1-70,3,1309.0,1,18 Dorrance Warehouse,Harvard Kennedy School at Bennett St / Eliot St,42.387151,-71.075978,70,42.371196,-71.121473,960.0,18.0,1308
1-71,5,1087.2,1,18 Dorrance Warehouse,Conway Park - Somerville Avenue,42.387151,-71.075978,71,42.383405,-71.107593,540.0,10.0,894
1-72,1,857.0,1,18 Dorrance Warehouse,One Broadway / Kendall Sq at Main St / 3rd St,42.387151,-71.075978,72,42.362613,-71.084105,720.0,12.0,1160
1-74,1,1386.0,1,18 Dorrance Warehouse,Harvard Square at Mass Ave/ Dunster,42.387151,-71.075978,74,42.373268,-71.118579,660.0,16.0,1251
1-75,2,1094.5,1,18 Dorrance Warehouse,Lafayette Square at Mass Ave / Main St / Columbia St,42.387151,-71.075978,75,42.363464693,-71.1005732417,720.0,17.0,1183
1-76,7,1160.14285714,1,18 Dorrance Warehouse,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.387151,-71.075978,76,42.366426,-71.105495,780.0,11.0,1183
1-78,2,1020.0,1,18 Dorrance Warehouse,Union Square - Somerville,42.387151,-71.075978,78,42.379637,-71.095319,360.0,9.0,633
1-79,3,846.0,1,18 Dorrance Warehouse,Beacon St at Washington / Kirkland,42.387151,-71.075978,79,42.37842,-71.105668,480.0,10.0,852
1-9,2,2428.5,1,18 Dorrance Warehouse,Agganis Arena - 925 Comm Ave.,42.387151,-71.075978,9,42.351246,-71.115639,780.0,15.0,1761
1-91,1,1260.0,1,18 Dorrance Warehouse,One Kendall Square at Hampshire St / Portland St,42.387151,-71.075978,91,42.366277,-71.09169,420.0,10.0,1048
1-94,4,551.5,1,18 Dorrance Warehouse,Charlestown - Main St at Austin St,42.387151,-71.075978,94,42.375603,-71.064608,300.0,8.0,423
1-96,2,1036.0,1,18 Dorrance Warehouse,Cambridge Main Library at Broadway / Trowbridge St,42.387151,-71.075978,96,42.373379,-71.111075,780.0,14.0,1172
1-99,1,987.0,1,18 Dorrance Warehouse,Wilson Square,42.387151,-71.075978,99,42.385582,-71.113341,480.0,11.0,995
10-100,4,1774.0,10,B.U. Central - 725 Comm. Ave.,Davis Square,42.350406,-71.108279,100,42.396969,-71.123024,1020.0,18.0,1686
10-102,2,1626.0,10,B.U. Central - 725 Comm. Ave.,Powder House Circle - Nathan Tufts Park,42.350406,-71.108279,102,42.400877,-71.116772,1020.0,18.0,1853
10-103,75,820.546666667,10,B.U. Central - 725 Comm. Ave.,JFK Crossing at Harvard St. / Thorndike St.,42.350406,-71.108279,103,42.346563,-71.128374,360.0,8.0,677
10-104,24,1382.91666667,10,B.U. Central - 725 Comm. Ave.,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.350406,-71.108279,104,42.380287,-71.125107,660.0,13.0,1239
10-105,211,496.345971564,10,B.U. Central - 725 Comm. Ave.,Lower Cambridgeport at Magazine St/Riverside Rd,42.350406,-71.108279,105,42.356954,-71.113687,180.0,9.0,441
10-107,44,855.159090909,10,B.U. Central - 725 Comm. Ave.,Ames St at Main St,42.350406,-71.108279,107,42.3625,-71.08822,360.0,12.0,834
10-108,29,1111.55172414,10,B.U. Central - 725 Comm. Ave.,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.350406,-71.108279,108,42.377945,-71.116865,780.0,14.0,1226
10-109,35,1345.14285714,10,B.U. Central - 725 Comm. Ave.,TD Garden - Causeway at Portal Park #1,42.350406,-71.108279,109,42.365942,-71.060515,600.0,20.0,1215
10-11,29,829.931034483,10,B.U. Central - 725 Comm. Ave.,Longwood Ave / Binney St,42.350406,-71.108279,11,42.338629,-71.1065,420.0,10.0,882
10-110,26,1229.84615385,10,B.U. Central - 725 Comm. Ave.,Harvard University Gund Hall at Quincy St / Kirkland S,42.350406,-71.108279,110,42.376369,-71.114025,780.0,21.0,1172
10-112,2,1253.0,10,B.U. Central - 725 Comm. Ave.,Somerville Hospital at Highland Ave / Crocker St,42.350406,-71.108279,112,42.39082,-71.10942,720.0,14.0,1771
10-113,2,1940.5,10,B.U. Central - 725 Comm. Ave.,Andrew Station - Dorchester Ave at Humboldt Pl,42.350406,-71.108279,113,42.330716,-71.057044,660.0,19.0,1996
10-114,1,2618.0,10,B.U. Central - 725 Comm. Ave.,Teele Square at 239 Holland St,42.350406,-71.108279,114,42.402763,-71.126908,780.0,16.0,1828
